City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
241,Arlit,NE,18.7369,7.3853,73.62,15,1,3.15,clear sky
242,Balikpapan,ID,-1.2675,116.8289,83.39,79,40,3.44,scattered clouds
243,Livingston,GB,55.9029,-3.5226,41.68,84,75,14.97,light rain
244,Ostrovnoy,RU,68.0531,39.5131,10.62,77,100,21.92,overcast clouds
245,Guerrero Negro,MX,27.9769,-114.0611,60.82,89,0,10.36,clear sky
246,Santiago Del Estero,AR,-27.7951,-64.2615,75.67,50,99,6.04,overcast clouds
247,Waingapu,ID,-9.6567,120.2641,83.73,75,100,2.84,overcast clouds
248,Qeshm,IR,26.9581,56.2719,82.27,48,4,5.23,clear sky
249,Timizart,DZ,36.8,4.2667,47.98,73,53,19.33,broken clouds
250,Flin Flon,CA,54.7682,-101.865,-12.19,91,35,8.12,scattered clouds
251,Payo,ID,-3.7508,103.6372,84.22,77,91,4.59,overcast clouds
252,Faanui,PF,-16.4833,-151.75,80.69,75,51,15.14,broken clouds
253,Kouroussa,GN,10.65,-9.8833,70.86,27,2,3.0,clear sky
254,Marsh Harbour,BS,26.5412,-77.0636,77.0,78,91,13.58,overcast clouds
255,Anadyr,RU,64.75,177.4833,-4.0,76,100,35.01,overcast clouds
256,Sarramea,NC,-21.6421,165.8452,81.52,73,85,4.32,overcast clouds
257,Mayskiy,RU,47.6931,40.1025,38.44,78,100,3.49,overcast clouds
258,Hasaki,JP,35.7333,140.8333,52.29,62,100,9.04,overcast clouds
259,Townsville,AU,-19.25,146.8,81.48,74,40,16.11,scattered clouds
260,Grand-Lahou,CI,5.1367,-5.0242,80.42,82,98,6.33,overcast clouds
261,Yeppoon,AU,-23.1333,150.7333,80.38,73,20,13.2,few clouds
262,Nabire,ID,-3.3667,135.4833,85.98,73,56,3.94,broken clouds
263,Urumqi,CN,43.801,87.6005,31.15,51,34,2.24,smoke
264,Mandalgovi,MN,45.7625,106.2708,26.38,29,8,14.61,clear sky
265,San Joaquin,US,37.9333,-121.3011,50.25,92,90,5.75,mist
266,Bambous Virieux,MU,-20.3428,57.7575,84.45,61,75,16.11,light rain
267,Santa Cruz Del Norte,CU,23.1539,-81.9236,68.74,87,0,8.05,clear sky
268,Batagay-Alyta,RU,67.8006,130.4114,-19.97,99,100,1.14,overcast clouds
269,Karymskoye,RU,51.6167,114.35,23.27,70,5,5.17,clear sky
270,Lumsden,CA,50.6501,-104.8678,-6.0,93,22,7.67,few clouds
271,Kuito,AO,-12.3833,16.9333,68.86,71,96,4.43,light rain
272,Berdigestyakh,RU,62.0989,126.6992,-24.54,100,100,2.17,overcast clouds
273,Marzuq,YE,14.4,46.4667,73.8,22,5,6.2,clear sky
274,Port Hawkesbury,CA,45.6169,-61.3485,27.59,82,97,1.99,overcast clouds
275,Thunder Bay,CA,48.4001,-89.3168,24.57,88,100,18.07,snow
276,Kismayo,SO,-0.3582,42.5454,85.5,61,19,11.95,few clouds
277,Sakakah,SA,29.9697,40.2064,60.62,42,0,3.65,clear sky
278,Yar-Sale,RU,66.8333,70.8333,-7.73,86,100,15.75,overcast clouds
279,Rocha,UY,-34.4833,-54.3333,57.7,95,0,0.96,clear sky
280,Castelnau-Le-Lez,FR,43.6333,3.9,46.54,70,0,3.44,clear sky
281,Tabou,CI,4.423,-7.3528,80.65,82,85,6.91,overcast clouds
282,Eureka,US,40.8021,-124.1637,49.62,94,100,5.59,overcast clouds
283,Vila,PT,42.0304,-8.1588,42.33,93,100,3.65,overcast clouds
284,Zambezi,ZM,-13.5432,23.1047,81.7,50,83,4.72,broken clouds
285,San Patricio,US,28.017,-97.5169,75.88,89,100,13.96,overcast clouds
286,Wagar,SD,16.1525,36.2032,85.12,37,0,6.91,clear sky
287,Banda Aceh,ID,5.5577,95.3222,83.8,72,75,12.1,broken clouds
288,Progreso,MX,21.2833,-89.6667,71.71,92,4,9.04,clear sky
289,Abu Dhabi,AE,24.4667,54.3667,78.91,53,0,4.0,clear sky
290,Narsaq,GL,60.9167,-46.05,23.22,76,73,13.35,broken clouds
291,Amahai,ID,-3.3333,128.9167,83.07,79,100,8.61,overcast clouds
292,Takoradi,GH,4.8845,-1.7554,81.95,79,19,6.38,few clouds
293,Acarau,BR,-2.8856,-40.12,80.78,77,22,14.63,few clouds
294,Te Anau,NZ,-45.4167,167.7167,49.08,80,97,3.33,overcast clouds
295,Mali,GN,12.079,-12.2982,61.18,24,29,2.19,scattered clouds
296,Caravelas,BR,-17.7125,-39.2481,71.82,93,10,3.98,clear sky
297,Pyay,MM,18.8167,95.2167,84.81,52,2,3.71,clear sky
298,Matara,LK,5.9485,80.5353,82.85,76,71,4.74,broken clouds
299,Thompson,CA,55.7435,-97.8558,-22.74,97,23,5.59,few clouds
300,Raga,SS,8.4596,25.678,88.09,17,60,8.43,broken clouds
301,Voh,NC,-20.9667,164.7,79.56,78,19,1.41,few clouds
302,Chulym,RU,55.0997,80.9572,23.52,90,100,7.34,overcast clouds
303,Bay Roberts,CA,47.5999,-53.2648,30.02,77,99,3.0,overcast clouds
304,Sisimiut,GL,66.9395,-53.6735,23.31,87,100,20.58,snow
305,Korla,CN,41.7597,86.1469,38.5,38,92,4.18,overcast clouds
306,Mount Gambier,AU,-37.8333,140.7667,61.93,59,0,10.09,clear sky
307,Santa Cruz,BO,-17.8,-63.1667,68.52,92,100,8.66,overcast clouds
308,Palu,ID,-0.8917,119.8707,81.93,78,100,6.91,overcast clouds
309,Nouadhibou,MR,20.931,-17.0347,65.46,47,11,16.22,few clouds
310,Yulara,AU,-25.2406,130.9889,95.52,15,6,8.97,clear sky
311,Kavieng,PG,-2.5744,150.7967,82.47,78,100,17.6,overcast clouds
312,Uige,AO,-7.6087,15.0613,74.55,81,98,3.04,overcast clouds
313,Naze,JP,28.3667,129.4833,65.17,61,72,13.22,broken clouds
314,San Ramon,US,37.7799,-121.978,53.49,90,1,1.99,clear sky
315,Vilyuysk,RU,63.7553,121.6247,-24.63,93,100,6.58,overcast clouds
316,Ranghulu,CN,46.65,124.8667,18.55,83,0,6.33,clear sky
317,Port-Cartier,CA,50.0334,-66.8654,14.4,62,100,3.87,overcast clouds
318,Norman,US,35.2226,-97.4395,49.26,39,40,19.57,scattered clouds
319,Waipawa,NZ,-41.4122,175.5153,53.02,96,100,5.03,light rain
320,Ishigaki,JP,24.3448,124.1572,73.67,59,66,17.9,broken clouds
321,Itoman,JP,26.1247,127.6694,73.42,56,20,16.11,few clouds
