City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
571,Blythe,US,59.45,clear sky,33.6103,-114.5964,Rodeway Inn & Suites
573,Pacific Grove,US,57.58,fog,36.6177,-121.9166,Lovers Point Inn
575,Dunedin,NZ,54.81,broken clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
576,Nguruka,TZ,80.89,overcast clouds,-5.1092,31.0419,RUSULI LODGE
578,Cozumel,MX,73.38,clear sky,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
579,Olinda,BR,80.33,few clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
580,Kingston,JM,72.16,clear sky,17.997,-76.7936,The Jamaica Pegasus Hotel
583,Khani,GE,47.77,scattered clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
585,Acamixtla,MX,61.32,overcast clouds,18.5667,-99.5833,Hotel Boutique Pueblo Lindo
586,Sao Gabriel Da Cachoeira,BR,71.17,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
589,Iquique,CL,66.11,overcast clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
590,Vao,NC,76.95,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
591,Bandarbeyla,SO,81.21,clear sky,9.4942,50.8122,JABIR HOTEL
593,Hokitika,NZ,54.66,overcast clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
594,Sumenep,ID,80.67,light rain,-7.0167,113.8667,OYO 3271 Homestay Pandian
595,Ailigandi,PA,79.21,overcast clouds,9.2333,-78.0167,Akwa Reef Lodge
596,Nova Olimpia,BR,72.16,overcast clouds,-14.7972,-57.2881,Motel glamour
598,Tsabong,BW,74.86,clear sky,-26.0217,22.401,Springbok Motel
599,Davila,PH,76.91,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
601,Honiara,SB,78.8,moderate rain,-9.4333,159.95,Heritage Park Hotel
602,Cayeli,TR,63.77,clear sky,41.0923,40.7292,Grand Cavusoglu Hotel
603,Guanica,PR,77.2,few clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
605,Norsup,VU,80.98,few clouds,-16.0667,167.3833,Nabelchel Bungalows
606,Mathbaria,BD,70.47,overcast clouds,22.2876,89.9593,Shikdar Hotel
609,Los Llanos De Aridane,ES,61.12,broken clouds,28.6585,-17.9182,Valle Aridane
610,Sandwick,GB,44.42,light intensity shower rain,60.0,-1.25,Beach House Self-Catering Accomodation
613,Sao Jose Da Coroa Grande,BR,77.58,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
